subject_id_temporary	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	subject_source	subject_source_version	object_source	object_source_version	mapping_cardinality	confidence	comment
mbmvl01	Dorsolateral prefrontal cortex	skos:exactMatch	UBERON:0009834	dorsolateral prefrontal cortex	HumanCuration	6/29/2022	orcid:0000-0002-6136-4102	Liu C, et al. Marmoset Brain Mapping V3: Population multi-modal standard volumetric and surface-based templates. Neuroimage (2021) doi:10.1016/j.neuroimage.2020.117620.	July 2022	http://purl.obolibrary.org/obo/UBERON_0009834	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	
mbmvl02	Ventrolateral prefrontal cortex	skos:broadMatch	UBERON:0000451	prefrontal cortex	HumanCuration	6/30/2022	orcid:0000-0002-6136-4102	Liu C, et al. Marmoset Brain Mapping V3: Population multi-modal standard volumetric and surface-based templates. Neuroimage (2021) doi:10.1016/j.neuroimage.2020.117620.	July 2022	http://purl.obolibrary.org/obo/UBERON_0000451	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	0.95	Could map to UBERON:0002998 (inferior frontal gyrus) as the VLPFC is located on it. Chose broad map to PFC to maintain consistency as a lexical mapping. Reccomendation to UBERON to parse PFC directionally 
mbmvl03	Medial prefrontal cortex	skos:broadMatch	UBERON:0000451	prefrontal cortex	HumanCuration	6/30/2022	orcid:0000-0002-6136-4102	Liu C, et al. Marmoset Brain Mapping V3: Population multi-modal standard volumetric and surface-based templates. Neuroimage (2021) doi:10.1016/j.neuroimage.2020.117620.	July 2022	http://purl.obolibrary.org/obo/UBERON_0000451	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	Reccomendation to UBERON to parse PFC directionally
mbmvl04	Orbital frontal cortex	skos:exactMatch	UBERON:0004167	orbitofrontal cortex	HumanCuration	6/30/2022	orcid:0000-0002-6136-4102	Liu C, et al. Marmoset Brain Mapping V3: Population multi-modal standard volumetric and surface-based templates. Neuroimage (2021) doi:10.1016/j.neuroimage.2020.117620.	July 2022	http://purl.obolibrary.org/obo/UBERON_0001870	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	
mbmvl05	Motor and premotor cortical regions	skos:narrowMatch	UBERON:0016634	premotor cortex	HumanCuration	7/1/2022	orcid:0000-0002-6136-4102	Liu C, et al. Marmoset Brain Mapping V3: Population multi-modal standard volumetric and surface-based templates. Neuroimage (2021) doi:10.1016/j.neuroimage.2020.117620.	July 2022	http://purl.obolibrary.org/obo/UBERON_0016634	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:2	0.9	There is no region encompassing both the motor and premotor cortices. Could have mapped more generally to UBERON_0000956 (cerebral cortex) but specificity would have been lost. Chose to do two separate mappings for this joint region 
mbmvl05	Motor and premotor cortical regions	skos:narrowMatch	UBERON:0001384	primary motor cortex	HumanCuration	7/1/2022	orcid:0000-0002-6136-4102	Liu C, et al. Marmoset Brain Mapping V3: Population multi-modal standard volumetric and surface-based templates. Neuroimage (2021) doi:10.1016/j.neuroimage.2020.117620.	July 2022	http://purl.obolibrary.org/obo/UBERON_0001384	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:2	0.85	There is no region encompassing both the motor and premotor cortices. Could have mapped more generally to UBERON_0000956 (cerebral cortex) but specificity would have been lost. Chose to do two separate mappings for this joint region 
mbmvl06	Somatosensory cortex	skos:exactMatch	UBERON:0008930	somatosensory cortex	HumanCuration	6/29/2022	orcid:0000-0002-6136-4102	Liu C, et al. Marmoset Brain Mapping V3: Population multi-modal standard volumetric and surface-based templates. Neuroimage (2021) doi:10.1016/j.neuroimage.2020.117620.	July 2022	http://purl.obolibrary.org/obo/UBERON_0008930	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	
mbmvl07	Auditory cortex	skos:exactMatch	UBERON:0001393	auditory cortex	HumanCuration	6/29/2022	orcid:0000-0002-6136-4102	Liu C, et al. Marmoset Brain Mapping V3: Population multi-modal standard volumetric and surface-based templates. Neuroimage (2021) doi:10.1016/j.neuroimage.2020.117620.	July 2022	http://purl.obolibrary.org/obo/UBERON_0001393	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	
mbmvl08	Insula and others in lateral sulcus	skos:narrowMatch	UBERON:0002022	insula	HumanCuration	7/1/2022	orcid:0000-0002-6136-4102	Liu C, et al. Marmoset Brain Mapping V3: Population multi-modal standard volumetric and surface-based templates. Neuroimage (2021) doi:10.1016/j.neuroimage.2020.117620.	July 2022	http://purl.obolibrary.org/obo/UBERON_0002022	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:2	1	There is no region encompassing both the insula and the lateral sulcus (and its parts). Could have mapped more generally to UBERON:0000956 (cerebral cortex) but specificity would have been lost. Chose to do two separate mappings for this joint region.
mbmvl08	Insula and others in lateral sulcus	skos:narrowMatch	UBERON:0002721	lateral sulcus	HumanCuration	7/1/2022	orcid:0000-0002-6136-4102	Liu C, et al. Marmoset Brain Mapping V3: Population multi-modal standard volumetric and surface-based templates. Neuroimage (2021) doi:10.1016/j.neuroimage.2020.117620.	July 2022	http://purl.obolibrary.org/obo/UBERON_0002721	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:2	0.8	This is the second of the two mappings chosen to be done for this joint region. "Others in the lateral sulcus" is not a clear entity, so I chose to map generally to the lateral sulcus to capture the structures that make it up
