subject_id_temporary	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	subject_source	subject_source_version	object_source	object_source_version	mapping_cardinality	confidence	comment
mbmvpax01	areas 1 and 2 of cortex	skos:narrowMatch	UBERON:0006099	Brodmann (1909) area 1	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0006099	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:2	1	UBERON does not have a combined entry for areas 1 and 2
mbmvpax01	areas 1 and 2 of cortex	skos:narrowMatch	UBERON:0013533	Brodmann (1909) area 2	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0013533	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:2	1	UBERON does not have a combined entry for areas 1 and 3
mbmvpax02	area 10 of cortex	skos:exactMatch	UBERON:0013541	Brodmann (1909) area 10	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0013541	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	
mbmvpax03	area 11 of cortex	skos:exactMatch	UBERON:001352	Brodmann (1909) area 11	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0013528	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	
mbmvpax04	area 13 of cortex lateral part	skos:broadMatch	UBERON:0013544	Brodmann (1909) area 13	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0013544	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	Entry not parcellated further in UBERON
mbmvpax05	area 13 of cortex medial part	skos:broadMatch	UBERON:0013544	Brodmann (1909) area 13	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0013545	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	Entry not parcellated further in UBERON
mbmvpax06	area 13a of cortex	skos:broadMatch	UBERON:0013544	Brodmann (1909) area 13	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0013546	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	Entry not parcellated further in UBERON
mbmvpax07	area 13b of cortex	skos:broadMatch	UBERON:0013544	Brodmann (1909) area 13	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0013547	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	Entry not parcellated further in UBERON
mbmvpax08	area 14 of cortex caudal part	skos:broadMatch	UBERON:0013545	Brodmann (1909) area 14	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_00135455	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	Entry not parcellated further in UBERON
mbmvpax09	area 14 of cortex rostral part	skos:broadMatch	UBERON:0013545	Brodmann (1909) area 14	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0013545	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	Entry not parcellated further in UBERON
